INDEX,X,Y,SEMA,SHAXIAN,LUOLA,DUMU,ZHENBAN,SIGN,PRE_ACTION,POST_ACTION,CMD
304,4,4,-0,1,0,0,1,-,-11,-11,
305,5,4,-0,1,0,0,1,-,-11,-11,
306,6,4,-0,1,0,0,1,-,-11,-11,
307,7,4,-0,1,0,0,1,-,-11,-11,
308,8,4,-0,1,0,0,1,-,-11,-11,
309,9,4,-0,1,0,0,1,-,-11,-11,
310,10,4,-0,1,0,0,1,-,-11,-11,
311,11,4,-0,1,0,0,1,-,-11,-11,
312,12,4,-0,1,0,0,1,-,-11,-11,
313,13,4,-0,1,0,0,1,-,-11,-11,
314,14,4,-0,1,0,0,1,-,-11,-11,
315,15,4,-0,1,0,0,1,-,-11,-11,
316,16,4,-0,1,0,0,1,-,-11,-11,
317,17,4,-0,1,0,0,1,-,-11,-11,
318,18,4,-0,1,0,0,1,-,-11,-11,
319,19,4,-0,1,0,0,1,-,-11,-11,
320,20,4,-0,1,0,0,1,-,-11,-11,
321,21,4,-0,1,0,0,1,-,-11,-11,
322,22,4,-0,1,0,0,1,-,-11,-11,
323,23,4,-0,1,0,0,1,-,-11,-11,
324,24,4,-0,1,0,0,1,-,-11,-11,
325,25,4,-0,1,0,0,1,-,-11,-11,
326,26,4,-0,1,0,0,1,-,-11,-11,
327,27,4,-0,1,0,0,1,-,-11,-11,
328,28,4,-0,1,0,0,1,-,-11,-11,
329,29,4,-0,1,0,0,1,-,-11,-11,
330,30,4,-0,1,0,0,1,-,-11,-11,
331,31,4,-0,1,0,0,1,-,-11,-11,
332,32,4,-0,1,0,0,1,-,-11,-11,
333,33,4,-0,1,0,0,1,-,-11,-11,
334,34,4,-0,1,0,0,1,-,-11,-11,
335,35,4,-0,1,0,0,1,-,-11,-11,
336,36,4,-0,1,0,0,1,-,-11,-11,
337,37,4,-0,1,0,0,1,-,-11,-11,
338,38,4,-0,1,0,0,1,-,-11,-11,
339,39,4,-0,1,0,0,1,-,-11,-11,
340,40,4,-0,1,0,0,1,-,-11,-11,
341,41,4,-0,1,0,0,1,-,-11,-11,
342,42,4,-0,1,0,0,1,-,-11,-11,
343,43,4,-10,1,1,1,1,-,-11,-11,
344,44,4,-10,1,1,1,1,-,-11,-11,
345,45,4,-10,1,1,1,1,-,-11,-11,
346,46,4,-10,1,1,1,1,-,-11,-11,
347,47,4,-10,1,1,1,1,-,-11,-11,
348,48,4,-10,1,1,1,1,-,-11,-11,
349,49,4,-10,1,1,1,1,-,-11,-11,
350,50,4,-0,1,0,0,1,-,-11,-11,
351,51,4,-0,1,0,0,1,-,-11,-11,
352,52,4,-0,1,0,0,1,-,-11,-11,
353,53,4,-0,1,0,0,1,-,-11,-11,
354,54,4,-0,1,0,0,1,-,-11,-11,
355,55,4,-0,1,0,0,1,-,-11,-11,
356,56,4,-0,1,0,0,1,-,-11,-11,
357,57,4,-0,1,0,0,1,-,-11,-11,
358,58,4,-0,1,0,0,1,-,-11,-11,
359,59,4,-0,1,0,0,1,-,-11,-11,
360,60,4,-0,1,0,0,1,-,-11,-11,
361,61,4,-0,1,0,0,1,-,-11,-11,
362,62,4,-0,1,0,0,1,-,-11,-11,
363,63,4,-0,1,0,0,1,-,-11,-11,
364,64,4,-0,1,0,0,1,-,-11,-11,
365,65,4,-0,1,0,0,1,-,-11,-11,
366,66,4,-0,1,0,0,1,-,-11,-11,
367,67,4,-0,1,0,0,1,-,-11,-11,
368,68,4,-0,1,0,0,1,-,-11,-11,
369,69,4,-0,1,0,0,1,-,-11,-11,
370,70,4,-0,1,0,0,1,-,-11,-11,
371,71,4,-0,1,0,0,1,-,-11,-11,
372,72,4,-0,1,0,0,1,-,-11,-11,
373,73,4,-0,1,0,0,1,-,-11,-11,
374,74,4,-0,1,0,0,1,-,-11,-11,
375,75,4,-0,1,0,0,1,-,-11,-11,
376,76,4,-0,1,0,0,1,-,-11,-11,
377,77,4,-0,1,0,0,1,-,-11,-11,
378,78,4,-0,1,0,0,1,-,-11,-11,
379,79,4,-0,1,0,0,1,-,-11,-11,
380,80,4,-0,1,0,0,1,-,-11,-11,
381,81,4,-0,1,0,0,1,-,-11,-11,
382,82,4,-0,1,0,0,1,-,-11,-11,
383,83,4,-0,1,0,0,1,-,-11,-11,
384,84,4,-0,1,0,0,1,-,-11,-11,
385,85,4,-0,1,0,0,1,-,-11,-11,
386,86,4,-0,1,0,0,1,-,-11,-11,
387,87,4,-0,1,0,0,1,-,-11,-11,
388,88,4,-0,1,0,0,1,-,-11,-11,
389,89,4,-0,1,0,0,1,-,-11,-11,
390,90,4,-0,1,0,0,1,-,-11,-11,
391,91,4,-0,1,0,0,1,-,-11,-11,
392,92,4,-0,1,0,0,1,-,-11,-11,
393,93,4,-0,1,0,0,1,-,-11,-11,
394,94,4,-0,1,0,0,1,-,-11,-11,
395,95,4,-0,1,0,0,1,-,-11,-11,
396,96,4,-0,1,0,0,1,-,-11,-11,
397,97,4,-0,1,0,0,1,-,-11,-11,
398,98,4,-0,1,0,0,1,-,-11,-11,
399,99,4,-0,1,0,0,1,-,-11,-11,
400,100,4,-0,1,0,0,1,-,-11,-11,
